name,symbol
Prima Alloy Steel,PRAS
Pudjiadi Prestige,PUDP
Pyridam Farma,PYFA
Radiant Utama,RUIS
Ramayana Lestari,RALS
Ratu Prabu Energi,ARTI
Renuka Coalindo,SQMI
Resource Alam Indonesia,KKGI
Rimo International Lestari,RIMO
Ristia Bintang,RBMS
Rukun Raharja,RAJA
Salim Ivomas Pratama,SIMP
Samindo Resources,MYOH
Sampoerna Agro,SGRO
Sarana Meditama,SAME
Sarana Menara Nusantara,TOWR
Saranacentral Bajatama,BAJA
Saraswati Griya Lestari,HOTL
Saratoga Investama,SRTG
Sat Nusapersada,PTSN
Sawit Sumbermas Sarana,SSMS
Sejahteraraya,SRAJ
Selamat Sempurna,SMSM
Semen Baturaja Persero,SMBR
Semen Indonesia Persero,SMGR
Sentul City,BKSL
Siantar Top,STTP
Sidomulyo Selaras,SDMU
Sierad Produce,SIPD
Siloam International,SILO
Sinar Mas Multiartha,SMMA
Slj Global,SULI
Smart,SMAR
Smartfren Telecom,FREN
Solusi Tunas Pratama,SUPR
Sri Rejeki Isman,SRIL
Star Pacific,LPLI
Star Petrcohem,STAR
Steel Pipe Ind,ISSP
Sugih Energy,SUGI
Sumber Alfaria Trijaya,AMRT
Summarecon Agung,SMRA
Suparma,SPMA
Supra Boga Lestari,RANC
Surya Citra Media,SCMA
Surya Esa Perkasa,ESSA
Surya Semesta,SSIA
Tanah Laut,INDX
Tambang Batubara,PTBA
Telekomunikasi,TLKM
Tempo Inti Media,TMPO
Tempo Scan Pacific,TSPC
Tifa Finance,TIFA
Timah Persero,TINS
Tiphone Mobile,TELE
Tirta Mahakam,TIRT
Pabrik Kertas Tjiwi,TKIM
Toba Bara Sejahtra,TOBA
Toba Pulp Lestari,INRU
Total Bangun Persada,TOTL
Tower Bersama,TBIG
Trada Maritime,TRAM
Tri Banyan Tirta,ALTO
Trimegah Securities,TRIM
Trisula International,TRIS
Triwira Insanlestari,TRIL
Tunas Alfin,TALF
Tunas Baru Lampung,TBLA
Tunas Ridean,TURI
Ultra Jaya Milk,ULTJ
Unilever Indonesia,UNVR
United Tractors,UNTR
Vale Indonesia,INCO
Verena Multi Finance,VRNA
Victoria Investama,VICO
Visi Media Asia,VIVA
Voksel Electric,VOKS
Wahana Ottomitra,WOMF
Wahana Pronatural,WAPO
Waskita Karya,WSKT
Wicaksana Overseas,WICO
Wijaya Karya,WIKA
Wijaya Karya Beton,WTON
Wilmar Cahaya Ind,CEKA
Wintermar,WINS
Wismilak Inti Makmur,WIIM
Xl Axiata,EXCL
Yanaprima Hastapersada,YPAS
Zebra Nusantara,ZBRA
Arpeni Pratama,APOL
Bali Towerindo Sentra,BALI
Eka Sari Lorena,LRNA
Centex Prf,CNTX_p
Indonesian Paradise,INPP
Nusantara Inti Corpora,UNIT
Unggul Indah Cahaya,UNIC
Asuransi Bina Dana Arta,ABDA
Batavia Prosperindo Fin,BPFI
Lion Metal Works,LION
Sumi Indo Kabel,IKBI
Dian Swastatika,DSSA
Asuransi Bintang,ASBI
Chitose Internasional,CINT
Link Net,LINK
Soechi Lines,SOCI
Intan Baruprana Finance,IBFN
Bank Agris,AGRS
Golden Plantation,GOLL
Tembaga Mulia Semanan,TBMS
Hm Sampoerna,HMSP
Mas Murni Indonesia,MAMI
Goodyear Indonesia,GDYR
Asuransi Jasa Tania,ASJT
Bank Cimb Niaga,BNGA
Yulie Sekurindo,YULE
Panca Global,PEGE
Hd Capital,HADE
Humpuss,HITS
Sekawan Intipratama,SIAP
Batavia Prosperindo Int,BPII
Magna Finance,MGNA
Sitara Propertindo,TARA
Bank Dinar Indonesia,DNAR
Mitrabara Adiperdana,MBAP
Blue Bird,BIRD
Impack Pratama Industri,IMPC
Indonesia Prima,OMRE
Siwani Makmur,SIMA
Bank Yudha Bhakti,BBYB
Roda Vivatex,RDTX
Merck,MERK
Jakarta Setiabudi,JSPT
Citra Tubindo,CTBN
Sekar Laut,SKLT
Danasupra,DEFI
Inti Kapuas Arowana,IIKP
Taisho Pharma Ind,SQBI_p
Trust Finance Ind,TRUS
Bintang Mitra,BMSR
Tira Austenite,TIRA
